symbol,entry_date,exit_signal_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,holding_days,exit_reason
1325.TW,2020-06-17,2020-06-24,2020-06-29,140.93196637999336,122.14588192053009,1457,-28336.006088977738,-0.13329895936320468,6,stop_loss
4119.TW,2020-05-19,2020-07-14,2020-07-15,94.05993497742875,82.83127379010678,2112,-24663.20592224921,-0.11937772644661593,39,stop_loss
1201.TW,2020-05-12,2020-07-27,2020-07-28,19.301606428192272,17.674292292213018,10347,-17829.11190934482,-0.08430977711794863,53,below_ma120
2505.TW,2020-08-19,2020-09-22,2020-09-23,46.00852423385743,40.46212525286132,4515,-26032.257249632734,-0.12055155155171315,25,stop_loss
3030.TW,2020-06-02,2020-10-29,2020-10-30,41.903730364869396,42.945317610884864,4701,3802.163774663204,0.024856671159012134,103,below_ma120
5269.TW,2020-06-03,2020-10-30,2020-11-02,1024.600664489746,1328.284762198465,193,57221.41789303595,0.29639264177127456,103,below_ma120
6582.TW,2020-11-03,2020-11-11,2020-11-12,161.93183995513914,139.8479560251986,1220,-27867.167122289626,-0.1363776508440746,7,stop_loss
5521.TW,2020-09-23,2020-12-08,2020-12-09,10.210773600492399,9.494040217907665,17776,-13655.461688621435,-0.07019383747282082,52,below_ma120
8499.TW,2020-08-20,2020-12-22,2020-12-23,139.05730846150715,136.95490517395672,840,-2389.6132030375593,-0.015118970090898909,86,below_ma120
5269.TW,2020-12-17,2020-12-22,2020-12-23,1590.9508166918008,1447.3722830745494,120,-18170.894835669373,-0.09024699702270278,4,below_ma120
5269.TW,2021-01-29,2021-02-23,2021-02-24,1788.1002518685405,1543.5583499759525,108,-27314.15857511497,-0.13676073343037953,11,stop_loss
2330.TW,2020-08-04,2021-05-12,2021-05-13,378.2209459221702,497.4838562011719,549,63994.87768712055,0.31532603248140423,186,below_ma120
2114.TW,2021-03-29,2021-05-12,2021-05-13,88.8883777461936,75.73096120986988,505,-6851.800555148868,-0.1480217872115137,29,stop_loss
2108.TW,2021-03-17,2021-08-10,2021-08-11,56.34673914156977,90.58575222898259,3755,126723.68826933333,0.6076485278303001,100,below_ma120
1256.TW,2020-11-12,2021-08-16,2021-08-17,264.87210807880604,361.89207522302263,735,69867.85344629496,0.36628985908682665,184,market_bear
3014.TW,2021-03-17,2021-08-16,2021-08-17,66.71449446848472,86.14588928222656,3174,60193.115293268114,0.29126196591238585,104,market_bear
8016.TW,2021-06-09,2021-08-16,2021-08-17,177.61819652149774,225.56565856933594,1412,65975.37026713189,0.269946790288657,48,market_bear
6550.TW,2021-06-22,2021-08-16,2021-08-17,72.67259847259521,69.69999694824219,804,-2693.734130589837,-0.04090402141701299,40,market_bear
6756.TW,2021-09-22,2021-09-29,2021-09-30,461.5345811860457,394.1726899901156,538,-37390.211197835626,-0.14595199133903336,6,stop_loss
3150.TW,2021-10-04,2021-10-06,2021-10-07,30.817187021464687,26.737780145966454,7752,-32747.09157241159,-0.13237440758810526,3,stop_loss
6415.TW,2021-09-13,2021-10-12,2021-10-13,1007.1840999044397,949.406859564012,247,-15542.122142767592,-0.057365123561729625,19,market_bear
6531.TW,2021-09-30,2021-10-12,2021-10-13,338.1028736204142,340.9472961425781,713,710.356290383992,0.008412890703074494,8,market_bear
5222.TW,2021-10-05,2021-10-12,2021-10-13,95.76439136830086,99.71106551576872,2448,8338.33558867179,0.04121233467969665,5,market_bear
6756.TW,2021-11-17,2022-01-06,2022-01-07,479.63397454455884,419.03446477365287,501,-31498.329674913024,-0.12634532369907459,36,stop_loss
5222.TW,2021-11-09,2022-01-13,2022-01-14,125.4378793048053,115.20670938388784,1861,-20202.37680165269,-0.08156363913054077,47,below_ma120
6799.TW,2021-11-24,2022-02-24,2022-02-25,265.459663772583,232.7310098713051,923,-31372.945180887444,-0.1232904970802503,59,stop_loss
4736.TW,2022-02-10,2022-02-24,2022-02-25,138.85124397915857,128.37147521972656,1598,-17858.63431801641,-0.07547479200838136,11,below_ma120
6550.TW,2021-11-24,2022-03-07,2022-03-08,74.97490152740478,112.5,3283,121192.87666646758,0.5005021374903582,65,market_bear
3150.TW,2021-11-29,2022-03-07,2022-03-08,31.6614958113092,31.629863613955518,6392,-1298.1144960400125,-0.0009990746344455959,62,market_bear
3014.TW,2022-03-03,2022-03-07,2022-03-08,86.58689909185973,83.14477883615801,2736,-10650.735725700797,-0.03975336097958637,3,market_bear
6550.TW,2022-03-31,2022-03-31,2022-04-01,117.11699999999999,119.0,2003,2479.6170047250343,0.01607793915486222,1,market_bear
6202.TW,2022-03-31,2022-03-31,2022-04-01,101.58766772001258,98.55062975662167,2312,-8256.704668072372,-0.029895734704347476,1,market_bear
3150.TW,2022-08-22,2022-09-07,2022-09-08,34.68729242771088,29.727388633295476,6834,-34997.21014494094,-0.14298907315271026,13,stop_loss
4736.TW,2022-09-02,2022-09-07,2022-09-08,169.210804614593,157.84950345450073,1376,-16810.504255617445,-0.06714288242981648,4,below_ma120
1760.TW,2022-09-06,2022-09-07,2022-09-08,140.86927468872068,121.41286419106902,1613,-32444.74984878421,-0.1381167791247918,2,stop_loss
6645.TW,2022-08-18,2022-09-19,2022-09-20,32.48225199750882,30.087556838989258,7184,-18375.14192963997,-0.07372318762576002,22,market_bear
6581.TW,2022-08-22,2022-09-19,2022-09-20,73.69700031636265,75.88373849805438,3206,5691.947422939789,0.029672010696563333,20,market_bear
3533.TW,2022-09-13,2022-09-19,2022-09-20,716.6637492716674,738.8948740425498,305,5558.896355150879,0.03102030037583936,5,market_bear
4770.TW,2022-09-15,2022-09-19,2022-09-20,322.3756151868986,313.7283813643553,690,-7139.99720991659,-0.026823473659848718,3,market_bear
3533.TW,2022-12-15,2023-01-05,2023-01-06,835.1889084206053,724.2087394185692,259,-29760.601368534903,-0.1328803195098779,15,stop_loss
4770.TW,2023-01-31,2023-03-14,2023-03-15,306.14717814157177,279.1131013971885,794,-22666.342013727524,-0.08830418398265272,29,below_ma120
3035.TW,2023-02-22,2023-04-25,2023-04-26,181.66919148026776,150.14832033945558,583,-18851.165880072003,-0.17350697101679924,40,below_ma120
2330.TW,2023-01-13,2023-05-15,2023-05-16,478.0633544454345,476.3813522489944,496,-2115.074470274005,-0.003518366720225319,73,below_ma120
1762.TW,2023-05-17,2023-06-12,2023-06-13,93.00927910204805,80.9892032365503,2524,-31446.727803559304,-0.12923523310302787,19,stop_loss
5222.TW,2023-04-26,2023-07-18,2023-07-19,134.4954489600807,122.46453678113708,646,-8200.802288972278,-0.08945218795109178,57,below_ma120
2303.TW,2023-03-20,2023-07-20,2023-07-21,44.351395667673756,40.04232457182344,4965,-22472.203273653315,-0.0971575083710624,83,below_ma120
6515.TW,2023-02-02,2023-08-04,2023-08-07,431.1147772578633,665.2982088988896,549,126586.84590847598,0.5432043715378232,123,below_ma120
8478.TW,2023-06-13,2023-08-08,2023-08-09,554.1064770668995,473.13850308641975,366,-30572.952360196155,-0.14612349310384287,38,stop_loss
4763.TW,2022-12-07,2023-09-21,2023-09-22,11.108554350860098,73.0225434218114,19195,1180841.17521025,5.573541535236537,189,market_bear
6645.TW,2023-07-19,2023-09-21,2023-09-22,39.99233351516723,42.9523811340332,1970,5372.625400535704,0.07401537641566636,46,market_bear
6919.TW,2023-08-02,2023-09-21,2023-09-22,36.167551555633544,42.91853713989258,5459,35583.6313515839,0.18665862890592844,36,market_bear
6472.TW,2023-09-04,2023-09-21,2023-09-22,586.7444575375848,507.9501335757818,737,-60100.65914299054,-0.1342907000646968,14,market_bear
3014.TW,2023-09-06,2023-09-21,2023-09-22,136.62442510652855,148.0849585257765,748,7972.055190799947,0.08388348869766116,12,market_bear
4763.TW,2023-10-12,2023-10-23,2023-10-24,88.67066912017587,96.70888327522239,4941,37126.65621282952,0.0906524585277717,8,market_bear
4771.TW,2023-10-16,2023-10-23,2023-10-24,231.4969779188826,229.350464957101,1924,-6521.829665497062,-0.009272315263371467,6,market_bear
6919.TW,2024-02-21,2024-03-29,2024-04-01,48.64859847259521,25.799999237060547,9392,-215907.5230236203,-0.46966613536473745,27,stop_loss
6906.TW,2023-12-04,2024-04-09,2024-04-10,152.8935397491455,157.99126556022034,2899,12295.593367299414,0.03334166910805214,81,below_ma120
6794.TW,2023-11-30,2024-04-11,2024-04-12,88.48840152740478,85.0,5017,-19812.887568864797,-0.03942213292579844,85,below_ma120
2458.TW,2023-12-08,2024-04-22,2024-04-23,136.97934224785698,133.132893204293,3235,-14777.822509328544,-0.028080504552314367,86,below_ma120
8045.TW,2024-04-11,2024-04-23,2024-04-24,156.35729877856892,125.23814419435344,2650,-84264.74594485678,-0.19902591581788587,9,stop_loss
7631.TW,2024-04-29,2024-05-07,2024-05-08,124.43572813140513,107.21281566954495,3199,-56955.21215693577,-0.13840809806386667,6,stop_loss
2539.TW,2024-04-24,2024-05-08,2024-05-09,53.950122167553864,46.89395995230427,7080,-51757.30945090379,-0.1307904770509165,10,stop_loss
7721.TW,2024-04-03,2024-05-21,2024-05-22,78.45762336118663,67.57819701210775,3067,-34490.68161834468,-0.13866627464605297,32,stop_loss
3034.TW,2024-04-16,2024-07-17,2024-07-18,550.6338497527365,520.2134663826292,746,-24797.218652560667,-0.055246119329147025,65,below_ma120
3030.TW,2024-06-11,2024-07-22,2024-07-23,156.3305997238159,141.1905391796215,1316,-20931.499097658118,-0.09684643039137475,30,stop_loss
6918.TW,2024-02-26,2024-09-04,2024-09-05,45.47383679697839,79.71014730462633,9518,321748.71516342706,0.7528793020148863,131,market_bear
1540.TW,2024-05-09,2024-09-04,2024-09-05,19.147839274701315,44.958192498867994,19977,510745.0463559357,1.3479512154809066,82,market_bear
1442.TW,2024-05-10,2024-09-04,2024-09-05,50.471539324778995,57.12952434979969,6310,40057.83706901583,0.13191563233641967,81,market_bear
4441.TW,2024-08-02,2024-09-04,2024-09-05,175.23169726562497,191.92002451826886,2692,42124.44390457409,0.09523577933133232,24,market_bear
3535.TW,2024-08-28,2024-09-04,2024-09-05,78.85736657847859,69.66207723750773,1247,-11937.403625549807,-0.1166065992302664,6,market_bear
8467.TW,2024-09-06,2024-09-09,2024-09-10,243.23804950823103,250.31422122869859,2140,12239.35488096386,0.02909154934753788,2,market_bear
4763.TW,2024-09-06,2024-09-09,2024-09-10,77.19020989687104,78.82854086567197,6719,8136.943835083686,0.02122459533391341,2,market_bear
1540.TW,2024-09-13,2024-10-09,2024-10-11,46.51904619598876,39.08996470916582,11272,-86129.03156269871,-0.15969978093539527,16,stop_loss
6216.TW,2024-09-23,2024-11-12,2024-11-13,43.857007184883294,37.36330312024352,11914,-79778.93963738467,-0.1480653715668504,33,stop_loss
2615.TW,2024-11-20,2024-11-28,2024-11-29,88.16678353881835,78.50896862903274,5015,-50568.143991995836,-0.10954028855474174,7,below_ma120
8467.TW,2024-09-13,2025-01-17,2025-01-20,253.98352217556626,253.24186268072017,2051,-4336.585185530246,-0.0029201087082074695,85,below_ma120
3533.TW,2024-10-16,2025-02-27,2025-03-03,1585.3195698124882,1612.8843522335123,308,5797.182721612102,0.017387524222819195,88,below_ma120
2330.TW,2024-10-17,2025-03-03,2025-03-04,1024.1152570199274,974.20471875,470,-25939.90536623489,-0.048735274597082046,88,below_ma120
4763.TW,2024-09-13,2025-03-07,2025-03-10,82.43617823674127,108.13751598855724,6331,159004.14276466245,0.3117725530410511,112,market_bear
6909.TW,2024-11-29,2025-03-07,2025-03-10,39.58854490572488,55.67577317524311,9879,155944.2981919822,0.40636068609816123,62,market_bear
4441.TW,2025-02-26,2025-03-07,2025-03-10,290.8294086190928,291.0223051505954,1752,-2425.8396988188615,0.0006632635001340148,7,market_bear
8114.TW,2025-06-02,2025-06-06,2025-06-09,292.9211757202148,259.5008029703919,1834,-63872.74792149756,-0.11409339959001319,5,below_ma120
3563.TW,2025-06-05,2025-07-22,2025-07-23,537.3551777343749,475.90281819823247,991,-63455.73821680329,-0.1143607842307226,34,stop_loss
3030.TW,2025-08-05,2025-10-14,2025-10-15,150.3235480815801,147.7275586379202,3116,-10584.297164030431,-0.017269346531463392,48,below_ma120
2059.TW,2025-06-04,2026-01-05,2026-01-06,2148.379705994073,3225.0,248,262666.45702846977,0.5011312902473011,147,below_ma120
3653.TW,2025-06-04,2026-05-18,2026-05-19,1372.8479505628698,3260.0,388,725358.6182756067,1.3746256813534194,231,below_ma120
3006.TW,2026-06-04,2026-06-05,2026-06-08,256.0492171970912,199.55868419702503,4906,-282449.48702670936,-0.22062372858802048,2,stop_loss
7769.TW,2025-06-05,2026-06-17,2026-06-18,979.0692363261679,7330.0,542,3420669.2883167174,6.486702398601438,252,max_holding_days
